Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
liberate_puppet;Liberate and Puppet Country;;Befreit das Land;;;;;;;;x;;;;
liberate_puppet_desc;Liberate and puppet an §Yentire country§W from its oppressors\n\n§YNOTE: §RDo not use it with normal Free people or Liberate Country CBs for other non existent countries.§W;;Befreit ein §Yganzes Land§W von seinen Unterdrückern;;;;;;;;x;;;;
liberate_puppet_short;$THIRD$ acquires $STATE$ and becomes a puppet;$THIRD$ prend $STATE$;$THIRD$ erwirbt $STATE$;;$THIRD$ adquiere $STATE$;;;;;;;;;x;
liberate_puppet_setup;Puppet and return $STATE$ to $THIRD$ from $RECIPIENT$;Prendre $STATE$ à $RECIPIENT$ pour le rendre à $THIRD$;Gebt $STATE$ an $THIRD$ von $RECIPIENT$ zurück;;Arrebatar el estado de $STATE$ de manos de $RECIPIENT$ y devolvérselo a $THIRD$;;;;;;;;;x;
take_puppet;Take Puppet;;;;;;;;;;;;;x,;;;;;;;;;;;;;;;
take_puppet_desc;Take a §Ycountry§W from its sovereign nation;;;;;;;;;;;;;x,;;;;;;;;;;;;;;;
take_puppet_short;$THIRD$ is taken;;;;;;;;;;;;;x,;;;;;;;;;;;;;;;
take_puppet_setup;Take $THIRD$ from $RECIPIENT$;;;;;;;;;;;;;x,;;;;;;;;;;;;;;;
#;;;;;;;;;;;;;;;;;;;;;;;;;x
conquest_low;Minor Conquest;;;;;;;;;;;;;x;;;;;;;;;;;
conquest_low_desc;Annex a §Ycountry§W of small size and population by conquest;;;;;;;;;;;;;x;;;;;;;;;;;
conquest_low_setup;Annex minor nation of $RECIPIENT$;;;;;;;;;;;;;x;;;;;;;;;;;
conquest_low_short;Annex $RECIPIENT$;;;;;;;;;;;;;x;;;;;;;;;;;
acquire_core_substate_region;Acquire core substate region;x
acquire_core_substate_region_desc;Acquire one of your core regions from enemy §Ysubstate§W;x
acquire_core_substate_region_short;Acquire $STATE$;x
acquire_core_substate_region_setup;Acquire your core, $STATE$, from $RECIPIENT$;x
conquest_tiny;Tiny Conquest;;;;;;;;;;;;;x;;;;;;;;;;;
conquest_tiny_desc;Annex a ï¿½Ycountryï¿½W of small size and population by conquest;;;;;;;;;;;;;x;;;;;;;;;;;
conquest_tiny_setup;Annex tiny nation of $RECIPIENT$;;;;;;;;;;;;;x;;;;;;;;;;;
conquest_tiny_short;Annex $RECIPIENT$;;;;;;;;;;;;;x;;;;;;;;;;;
conquest_minuscule;Minuscule Conquest;;;;;;;;;;;;;x;;;;;;;;;;;
conquest_minuscule_desc;Annex a ï¿½Ycountryï¿½W of small size and population by conquest;;;;;;;;;;;;;x;;;;;;;;;;;
conquest_minuscule_setup;Annex minuscule nation of $RECIPIENT$;;;;;;;;;;;;;x;;;;;;;;;;;
conquest_minuscule_short;Annex $RECIPIENT$;;;;;;;;;;;;;x;;;;;;;;;;;
demand_concession_capital_short;Take $RECIPIENT$'s capital;;;;;;;;;;;;;x;;;;;;;;;;;
take_capital;Take Capital;;;;;;;;;;;
